month_year,monthly_revenue,total_orders
2017-01,249930.15,1923
2017-02,352252.14,2684
2017-03,387451.39,2861
2017-04,413937.61,2699
2017-05,480134.1,3510
2017-06,408409.43,2810
2017-07,323397.89,2456
2017-08,533292.27,3971
2017-09,186978.03,1125
2018-01,786513.21,5896
2018-02,708408.39,5524
2018-03,925103.71,6688
2018-04,900266.16,6402
2018-05,986748.84,6785
2018-06,869591.8,6424
2018-07,1026160.09,7575
2018-08,859984.07,6573
2018-09,420556.61,3026
2018-10,688572.76,4743
2018-11,987765.37,7289
2018-12,726044.09,5514
